"ID","person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length"
214,22,190000,"MORTGAGE",3,"VENTURE","C",10000,NA,0,0.05,"N",3
219,23,78000,"RENT",7,"DEBTCONSOLIDATION","C",25000,NA,1,0.32,"Y",2
223,24,185000,"MORTGAGE",NA,"EDUCATION","B",35000,12.42,0,0.19,"N",2
230,21,14400,"MORTGAGE",0,"MEDICAL","C",1500,NA,0,0.1,"N",4
239,22,183000,"MORTGAGE",3,"EDUCATION","A",1000,NA,0,0.01,"N",2
242,26,74004,"RENT",10,"DEBTCONSOLIDATION","D",25000,NA,1,0.34,"Y",4
257,23,14664,"MORTGAGE",0,"DEBTCONSOLIDATION","C",6000,NA,1,0.41,"N",4
269,23,15000,"OWN",7,"MEDICAL","B",4475,NA,1,0.3,"N",4
283,22,175000,"MORTGAGE",6,"EDUCATION","B",18000,NA,0,0.1,"N",2
308,26,110000,"RENT",3,"PERSONAL","C",25000,NA,0,0.23,"Y",2
315,24,83300,"RENT",0,"MEDICAL","D",25000,NA,1,0.26,"N",2
380,24,16800,"MORTGAGE",NA,"DEBTCONSOLIDATION","A",3900,NA,1,0.23,"N",3
389,25,160000,"MORTGAGE",2,"EDUCATION","A",9000,NA,0,0.06,"N",3
393,26,160000,"MORTGAGE",0,"DEBTCONSOLIDATION","C",13750,NA,0,0.09,"N",4
397,25,111996,"RENT",9,"PERSONAL","D",24250,NA,0,0.22,"N",3
406,26,48000,"RENT",4,"MEDICAL","A",24000,NA,1,0.5,"N",3
408,25,52000,"RENT",NA,"PERSONAL","B",24000,10.74,1,0.46,"N",2
409,22,17352,"MORTGAGE",NA,"EDUCATION","C",2250,15.27,0,0.13,"Y",3
419,26,65000,"RENT",10,"DEBTCONSOLIDATION","A",24000,NA,1,0.37,"N",2
420,22,17760,"MORTGAGE",6,"EDUCATION","C",4975,NA,1,0.28,"Y",3
422,23,66000,"RENT",6,"VENTURE","A",24000,NA,1,0.36,"N",4
431,24,75000,"RENT",7,"HOMEIMPROVEMENT","C",24000,NA,1,0.32,"N",3
434,22,18000,"OWN",NA,"VENTURE","B",2000,11.49,0,0.11,"N",3
444,21,18000,"OWN",NA,"EDUCATION","B",5000,11.11,1,0.28,"N",2
448,22,98000,"RENT",7,"DEBTCONSOLIDATION","F",24000,NA,1,0.24,"Y",2
465,26,170000,"RENT",3,"DEBTCONSOLIDATION","C",24000,NA,0,0.14,"Y",2
467,24,43896,"RENT",8,"HOMEIMPROVEMENT","B",23975,NA,1,0.55,"N",2
473,22,18000,"OWN",2,"MEDICAL","C",4000,NA,1,0.22,"N",2
475,25,18000,"MORTGAGE",1,"MEDICAL","B",4000,NA,1,0.22,"N",3
476,21,18000,"OWN",5,"VENTURE","B",3375,NA,1,0.19,"N",2
478,22,43385,"RENT",7,"PERSONAL","C",23000,NA,1,0.53,"N",3
479,25,56544,"RENT",3,"EDUCATION","B",23000,NA,1,0.41,"N",2
486,25,80000,"RENT",9,"VENTURE","C",23000,NA,0,0.29,"N",2
505,22,66000,"RENT",1,"EDUCATION","F",22000,NA,1,0.33,"N",2
511,24,80000,"RENT",0,"MEDICAL","A",22000,NA,0,0.28,"N",4
520,23,110000,"RENT",0,"PERSONAL","B",22000,NA,0,0.2,"N",3
530,24,19200,"MORTGAGE",NA,"HOMEIMPROVEMENT","A",7000,5.99,1,0.36,"N",4
541,26,19200,"OWN",0,"EDUCATION","B",9250,NA,1,0.48,"N",2
546,23,19200,"MORTGAGE",7,"MEDICAL","A",3000,NA,1,0.16,"N",4
548,25,19200,"OWN",2,"VENTURE","B",1000,NA,0,0.05,"N",3
565,26,97000,"RENT",3,"EDUCATION","C",21000,NA,0,0.22,"Y",3
568,21,19253,"MORTGAGE",NA,"DEBTCONSOLIDATION","A",6250,6.17,1,0.32,"N",3
591,21,36000,"RENT",5,"MEDICAL","D",20000,NA,1,0.56,"Y",2
596,23,20000,"MORTGAGE",7,"EDUCATION","C",3625,NA,0,0.18,"Y",3
601,24,45000,"RENT",8,"MEDICAL","E",20000,NA,1,0.44,"N",2
617,24,50866,"RENT",6,"MEDICAL","B",20000,NA,1,0.39,"N",3
629,24,52559,"RENT",9,"HOMEIMPROVEMENT","B",20000,NA,1,0.38,"N",3
643,25,55200,"RENT",7,"VENTURE","B",20000,NA,1,0.36,"N",4
648,26,20004,"MORTGAGE",4,"HOMEIMPROVEMENT","B",3600,NA,0,0.18,"N",2
655,21,20245,"OWN",5,"VENTURE","A",3550,NA,0,0.18,"N",4
660,24,60000,"RENT",8,"VENTURE","A",20000,NA,1,0.33,"N",4
664,25,60000,"RENT",2,"EDUCATION","B",20000,NA,1,0.33,"N",2
667,25,60000,"RENT",9,"EDUCATION","B",20000,NA,1,0.33,"N",3
680,22,20400,"OWN",0,"DEBTCONSOLIDATION","D",3800,NA,0,0.19,"Y",3
692,24,20856,"OWN",NA,"VENTURE","B",10000,10.59,0,0.48,"N",4
694,26,59000,"RENT",3,"PERSONAL","C",20000,NA,1,0.34,"N",4
710,25,64000,"RENT",0,"HOMEIMPROVEMENT","E",20000,NA,1,0.31,"N",4
722,25,75000,"RENT",8,"DEBTCONSOLIDATION","B",20000,NA,0,0.27,"N",4
723,21,21216,"MORTGAGE",5,"HOMEIMPROVEMENT","D",4500,NA,1,0.21,"Y",2
727,26,75000,"RENT",3,"EDUCATION","A",20000,NA,0,0.27,"N",3
730,22,75000,"RENT",2,"VENTURE","C",20000,NA,0,0.27,"N",2
731,21,21600,"MORTGAGE",6,"PERSONAL","A",7575,NA,0,0.35,"N",3
741,21,21600,"OWN",NA,"VENTURE","A",7125,6.99,0,0.33,"N",3
742,22,21600,"MORTGAGE",NA,"EDUCATION","A",4025,5.42,0,0.19,"N",4
745,22,21600,"MORTGAGE",NA,"PERSONAL","C",4000,12.99,0,0.19,"N",2
746,26,21600,"OWN",NA,"MEDICAL","B",4200,9.99,0,0.19,"N",3
747,22,21600,"MORTGAGE",6,"VENTURE","C",1400,NA,0,0.06,"N",2
748,123,78000,"RENT",7,"VENTURE","B",20000,NA,0,0.26,"N",4
751,24,72000,"RENT",6,"DEBTCONSOLIDATION","D",20000,NA,1,0.28,"Y",4
770,22,82000,"RENT",6,"EDUCATION","C",20000,NA,0,0.24,"Y",2
774,26,21600,"OWN",NA,"VENTURE","A",3000,6.76,0,0.14,"N",2
785,25,85000,"RENT",4,"HOMEIMPROVEMENT","B",20000,NA,0,0.24,"N",2
786,24,21948,"MORTGAGE",2,"VENTURE","D",4000,NA,0,0.18,"N",2
789,22,90000,"RENT",5,"PERSONAL","B",20000,NA,0,0.22,"N",4
799,22,22000,"MORTGAGE",3,"VENTURE","A",6500,NA,0,0.3,"N",4
806,22,94500,"RENT",2,"PERSONAL","B",20000,NA,0,0.21,"N",2
807,23,83000,"RENT",7,"DEBTCONSOLIDATION","C",20000,NA,1,0.24,"N",2
809,24,95000,"RENT",4,"HOMEIMPROVEMENT","D",20000,NA,0,0.21,"Y",3
824,25,22000,"OWN",0,"VENTURE","E",7500,NA,0,0.34,"Y",3
825,23,22080,"MORTGAGE",3,"EDUCATION","A",6700,NA,0,0.3,"N",4
830,26,22296,"OWN",NA,"PERSONAL","A",5400,5.42,0,0.24,"N",3
834,25,108000,"RENT",0,"HOMEIMPROVEMENT","C",20000,NA,0,0.19,"N",4
835,25,96901,"RENT",3,"PERSONAL","C",20000,NA,1,0.21,"N",3
840,23,110000,"RENT",2,"VENTURE","B",20000,NA,0,0.18,"N",2
846,22,22800,"MORTGAGE",NA,"PERSONAL","C",8300,12.61,1,0.36,"Y",2
869,25,23000,"MORTGAGE",NA,"HOMEIMPROVEMENT","A",4400,6.76,0,0.19,"N",2
873,25,23000,"MORTGAGE",4,"PERSONAL","C",10000,NA,1,0.43,"Y",2
877,23,10000,"RENT",NA,"PERSONAL","B",1000,10.37,1,0.1,"N",2
879,21,10140,"RENT",NA,"HOMEIMPROVEMENT","C",1000,13.43,1,0.1,"N",4
882,23,10500,"RENT",NA,"MEDICAL","B",1000,10.25,1,0.1,"N",2
883,22,11220,"RENT",NA,"MEDICAL","C",1000,12.99,0,0.09,"N",4
885,23,11820,"RENT",NA,"DEBTCONSOLIDATION","C",1000,14.65,0,0.08,"N",3
890,24,13728,"RENT",NA,"DEBTCONSOLIDATION","B",1000,10,1,0.07,"N",4
893,21,23040,"OWN",1,"VENTURE","D",5000,NA,0,0.22,"N",3
898,24,16800,"RENT",NA,"VENTURE","B",1000,11.49,0,0.06,"N",3
905,25,52000,"RENT",5,"MEDICAL","B",19000,NA,1,0.37,"N",4
908,25,54000,"RENT",8,"DEBTCONSOLIDATION","C",19000,NA,1,0.35,"Y",4
909,22,54000,"RENT",6,"VENTURE","A",19000,NA,1,0.35,"N",4
917,22,23964,"OWN",NA,"VENTURE","B",2500,9.91,0,0.1,"N",2
921,26,50000,"RENT",10,"PERSONAL","B",18950,NA,1,0.38,"N",3
951,25,24000,"MORTGAGE",NA,"DEBTCONSOLIDATION","A",5800,5.99,0,0.24,"N",3
955,25,49200,"RENT",NA,"VENTURE","D",18250,14.83,1,0.37,"N",3
966,21,36000,"RENT",NA,"PERSONAL","B",18000,9.88,1,0.5,"N",3
980,22,48000,"RENT",5,"EDUCATION","B",18000,NA,1,0.38,"N",2
987,23,24000,"OWN",NA,"PERSONAL","B",4200,10.99,0,0.17,"N",4
991,22,52000,"RENT",6,"EDUCATION","C",18000,NA,1,0.35,"N",4
1004,25,58000,"RENT",6,"VENTURE","C",18000,NA,1,0.31,"N",4
1017,25,65000,"RENT",8,"VENTURE","A",18000,NA,0,0.28,"N",3
1020,25,65000,"RENT",8,"HOMEIMPROVEMENT","C",18000,NA,0,0.28,"N",3
1033,23,73500,"RENT",7,"EDUCATION","A",18000,NA,0,0.24,"N",2
1046,23,82000,"RENT",7,"MEDICAL","A",18000,NA,0,0.22,"N",2
1072,26,130000,"RENT",2,"PERSONAL","A",17950,NA,0,0.14,"N",2
1082,25,59256,"RENT",NA,"MEDICAL","C",17600,12.99,0,0.3,"N",2
1085,24,71480,"RENT",8,"HOMEIMPROVEMENT","F",17600,NA,0,0.25,"N",4
1096,24,24468,"OWN",NA,"HOMEIMPROVEMENT","B",5000,10.75,0,0.2,"N",3
1129,23,24996,"OWN",1,"PERSONAL","D",4575,NA,0,0.18,"Y",2
1132,24,45000,"RENT",NA,"EDUCATION","D",17000,14.96,1,0.38,"Y",2
1136,24,52500,"RENT",3,"HOMEIMPROVEMENT","B",17000,NA,1,0.32,"N",3
1138,26,25000,"OWN",0,"VENTURE","C",7400,NA,0,0.3,"N",2
1144,23,25000,"OWN",NA,"MEDICAL","C",4000,15.27,0,0.16,"Y",4
1148,25,72000,"RENT",NA,"MEDICAL","A",17000,7.88,0,0.24,"N",3
1168,24,55000,"RENT",8,"MEDICAL","B",16800,NA,1,0.31,"N",4
1189,23,54000,"RENT",7,"VENTURE","C",16750,NA,1,0.31,"N",4
1196,26,47000,"RENT",0,"MEDICAL","A",16500,NA,1,0.35,"N",4
1208,22,27600,"RENT",2,"DEBTCONSOLIDATION","B",16300,NA,1,0.59,"N",4
1218,24,35500,"RENT",3,"PERSONAL","A",16000,NA,1,0.45,"N",4
1220,21,25000,"MORTGAGE",4,"VENTURE","C",2800,NA,0,0.11,"Y",3
1243,24,25000,"MORTGAGE",1,"MEDICAL","A",6500,NA,0,0.26,"N",4
1261,23,25200,"MORTGAGE",NA,"MEDICAL","A",1200,7.49,0,0.05,"N",3
1270,24,54000,"RENT",6,"DEBTCONSOLIDATION","A",16000,NA,0,0.3,"N",4
1272,25,49000,"RENT",2,"DEBTCONSOLIDATION","C",16000,NA,1,0.33,"N",4
1273,22,55000,"RENT",6,"VENTURE","C",16000,NA,0,0.29,"Y",3
1277,25,58000,"RENT",9,"PERSONAL","A",16000,NA,0,0.28,"N",2
1286,22,61000,"RENT",3,"VENTURE","C",16000,NA,0,0.26,"Y",2
1320,26,26000,"MORTGAGE",4,"HOMEIMPROVEMENT","B",12000,NA,0,0.46,"N",3
1321,26,75000,"RENT",1,"VENTURE","B",16000,NA,0,0.21,"N",2
1327,25,26000,"OWN",NA,"EDUCATION","A",10000,5.79,0,0.38,"N",3
1333,23,26000,"MORTGAGE",0,"HOMEIMPROVEMENT","E",10000,NA,1,0.38,"Y",3
1353,23,30000,"RENT",NA,"VENTURE","A",1000,7.49,0,0.03,"N",3
1355,21,30000,"RENT",0,"DEBTCONSOLIDATION","A",1000,NA,0,0.03,"N",3
1366,21,26004,"OWN",5,"VENTURE","A",7500,NA,0,0.29,"N",2
1373,22,35000,"RENT",4,"VENTURE","C",1000,NA,0,0.03,"Y",3
1380,22,36000,"RENT",NA,"MEDICAL","B",1000,9.88,0,0.03,"N",3
1388,23,38400,"RENT",6,"EDUCATION","B",1000,NA,0,0.03,"N",3
1389,22,26400,"MORTGAGE",NA,"HOMEIMPROVEMENT","A",1550,NA,1,0.06,"N",2
1396,22,26400,"MORTGAGE",NA,"PERSONAL","B",1000,NA,1,0.04,"N",2
1409,25,40800,"RENT",NA,"DEBTCONSOLIDATION","D",1000,15.57,1,0.02,"N",2
1421,26,64000,"RENT",NA,"DEBTCONSOLIDATION","B",1000,10.75,0,0.02,"N",3
1431,23,38000,"RENT",0,"DEBTCONSOLIDATION","A",1075,NA,0,0.03,"N",3
1434,25,35000,"RENT",NA,"DEBTCONSOLIDATION","A",1100,6.76,0,0.03,"N",2
1438,23,11000,"RENT",NA,"EDUCATION","A",1200,6.91,0,0.11,"N",3
1439,21,26784,"MORTGAGE",NA,"EDUCATION","A",2000,6.99,1,0.07,"N",3
1446,22,26886,"OWN",6,"EDUCATION","C",7500,NA,0,0.28,"Y",4
1452,23,27000,"OWN",NA,"EDUCATION","B",5000,10.65,0,0.19,"N",4
1463,26,27000,"MORTGAGE",NA,"DEBTCONSOLIDATION","A",3000,5.79,0,0.11,"N",3
1469,23,27000,"MORTGAGE",NA,"EDUCATION","B",4000,9.62,0,0.15,"N",2
1484,25,43200,"RENT",NA,"VENTURE","B",1200,9.91,0,0.03,"N",4
1485,24,27000,"MORTGAGE",7,"EDUCATION","B",10000,NA,0,0.37,"N",2
1490,22,27000,"MORTGAGE",1,"EDUCATION","B",12000,NA,1,0.44,"N",3
1497,23,60000,"RENT",7,"DEBTCONSOLIDATION","B",1200,NA,0,0.02,"N",3
1518,23,27350,"MORTGAGE",5,"VENTURE","B",1925,NA,0,0.07,"N",3
1521,25,27500,"MORTGAGE",NA,"EDUCATION","A",9000,7.49,0,0.33,"N",4
1524,23,27500,"MORTGAGE",7,"EDUCATION","B",6300,NA,0,0.23,"N",3
1530,26,45000,"RENT",NA,"DEBTCONSOLIDATION","B",1400,10.59,0,0.03,"N",4
1538,24,125000,"RENT",1,"HOMEIMPROVEMENT","C",1400,NA,0,0.01,"Y",4
1539,21,10000,"RENT",NA,"MEDICAL","A",1450,7.51,0,0.14,"N",4
1540,24,21600,"RENT",0,"MEDICAL","A",1450,NA,0,0.07,"N",3
1543,23,27600,"MORTGAGE",NA,"EDUCATION","A",9800,7.29,0,0.36,"N",4
1550,24,27600,"OWN",2,"MEDICAL","D",10000,NA,0,0.36,"N",2
1551,22,28500,"RENT",1,"EDUCATION","B",1500,NA,0,0.05,"N",4
1558,25,27800,"OWN",NA,"VENTURE","A",14125,6.99,0,0.51,"N",4
1585,24,35000,"RENT",9,"EDUCATION","A",1500,NA,0,0.04,"N",3
1593,25,28000,"MORTGAGE",NA,"MEDICAL","A",9600,6.03,0,0.34,"N",3
1607,26,28000,"MORTGAGE",8,"PERSONAL","A",4500,NA,1,0.16,"N",2
1609,21,41004,"RENT",5,"EDUCATION","B",1500,NA,0,0.04,"N",3
1626,24,50400,"RENT",8,"DEBTCONSOLIDATION","A",1500,NA,0,0.03,"N",4
1628,24,51600,"RENT",NA,"HOMEIMPROVEMENT","C",1500,12.61,0,0.03,"Y",2
1641,25,57000,"RENT",9,"HOMEIMPROVEMENT","C",1500,NA,0,0.03,"N",3
1648,25,63128,"RENT",NA,"VENTURE","A",1500,7.49,0,0.02,"N",4
1652,23,28296,"MORTGAGE",NA,"PERSONAL","B",7000,NA,0,0.25,"N",4
1653,26,96000,"RENT",4,"PERSONAL","D",1500,NA,0,0.02,"Y",2
1654,23,155004,"RENT",4,"MEDICAL","C",1500,NA,0,0.01,"N",3
1655,23,10008,"RENT",NA,"DEBTCONSOLIDATION","B",1600,10.36,1,0.16,"N",2
1656,24,28440,"MORTGAGE",NA,"MEDICAL","B",6000,9.99,0,0.21,"N",3
1661,22,21600,"RENT",6,"PERSONAL","D",1600,NA,0,0.07,"Y",4
1678,21,28776,"MORTGAGE",NA,"EDUCATION","A",8000,8.9,0,0.28,"N",4
1682,22,10000,"RENT",NA,"DEBTCONSOLIDATION","C",1750,14.72,1,0.17,"Y",3
1685,25,10008,"RENT",NA,"VENTURE","A",1750,7.49,1,0.17,"N",3
1687,26,22000,"RENT",2,"MEDICAL","B",1750,NA,0,0.08,"N",3
1699,23,28800,"MORTGAGE",NA,"MEDICAL","A",10625,NA,0,0.37,"N",2
1702,24,28800,"OWN",NA,"EDUCATION","A",7500,8.49,0,0.26,"N",2
1703,22,28800,"MORTGAGE",0,"VENTURE","B",11500,NA,0,0.4,"N",3
1708,26,22584,"RENT",NA,"PERSONAL","A",1800,8.49,0,0.08,"N",2
1712,25,28800,"MORTGAGE",NA,"EDUCATION","A",1000,5.42,0,0.03,"N",3
1713,22,28800,"OWN",2,"PERSONAL","A",2000,NA,0,0.07,"N",2
1732,24,28800,"MORTGAGE",5,"DEBTCONSOLIDATION","C",5500,NA,0,0.19,"Y",3
1734,22,28800,"MORTGAGE",NA,"PERSONAL","B",14500,9.88,0,0.5,"N",2
1740,26,19392,"RENT",7,"DEBTCONSOLIDATION","C",1900,NA,0,0.1,"Y",3
1749,24,28932,"MORTGAGE",4,"PERSONAL","C",10000,NA,0,0.35,"Y",2
1754,21,14000,"RENT",0,"MEDICAL","A",2000,NA,0,0.14,"N",4
1761,26,14400,"RENT",NA,"MEDICAL","A",2000,6.92,0,0.14,"N",4
1768,24,17616,"RENT",NA,"VENTURE","B",2000,10.37,0,0.11,"N",2
1779,21,20000,"RENT",0,"MEDICAL","A",2000,NA,0,0.1,"N",3
1793,24,24000,"RENT",8,"MEDICAL","B",2000,NA,0,0.08,"N",3
1794,24,24000,"RENT",NA,"HOMEIMPROVEMENT","B",2000,12.69,1,0.08,"N",2
1803,22,29184,"OWN",NA,"MEDICAL","A",1800,5.42,0,0.06,"N",4
1811,22,24702,"RENT",NA,"EDUCATION","C",2000,13.23,0,0.08,"Y",4
1813,25,25000,"RENT",NA,"VENTURE","B",2000,9.91,0,0.08,"N",4
1865,24,120000,"RENT",5,"MEDICAL","A",15000,NA,0,0.13,"N",3
1866,23,121000,"RENT",7,"MEDICAL","B",15000,NA,0,0.12,"N",2
1868,25,125000,"RENT",0,"VENTURE","A",15000,NA,0,0.12,"N",3
1905,23,30000,"MORTGAGE",0,"VENTURE","B",13000,NA,0,0.43,"N",2
1908,22,33000,"RENT",1,"DEBTCONSOLIDATION","A",2000,NA,0,0.06,"N",3
1910,24,40000,"RENT",5,"MEDICAL","B",2000,NA,0,0.05,"N",4
1912,22,50400,"RENT",3,"VENTURE","B",2000,NA,0,0.04,"N",4
1917,25,30000,"OWN",9,"VENTURE","D",7000,NA,0,0.23,"N",3
1922,23,60000,"RENT",NA,"MEDICAL","C",2000,13.06,0,0.03,"Y",3
1930,25,30000,"MORTGAGE",NA,"EDUCATION","D",10625,16.49,0,0.35,"N",4
1934,26,67000,"RENT",6,"EDUCATION","C",2000,NA,0,0.03,"N",4
1941,22,70028,"RENT",7,"VENTURE","B",2000,NA,0,0.03,"N",3
1944,23,30000,"OWN",NA,"VENTURE","A",7000,7.49,0,0.23,"N",3
1946,24,76248,"RENT",8,"EDUCATION","B",2000,NA,0,0.03,"N",3
1953,23,80004,"RENT",0,"PERSONAL","A",2000,NA,0,0.02,"N",3
1961,22,30000,"OWN",NA,"EDUCATION","B",5125,10,0,0.17,"N",3
1964,23,30000,"MORTGAGE",6,"PERSONAL","C",2400,NA,0,0.08,"N",4
1970,22,30000,"OWN",NA,"EDUCATION","A",12000,7.66,0,0.4,"N",2
1974,23,33600,"RENT",0,"DEBTCONSOLIDATION","B",2100,NA,0,0.06,"N",3
1976,25,30000,"MORTGAGE",NA,"HOMEIMPROVEMENT","A",8000,6.92,0,0.27,"N",3
1984,25,30000,"OWN",9,"VENTURE","A",10000,NA,0,0.33,"N",2
1987,25,80000,"RENT",9,"PERSONAL","A",2100,NA,0,0.03,"N",4
1988,23,87000,"RENT",4,"EDUCATION","C",2100,NA,0,0.02,"N",2
1992,26,43000,"RENT",NA,"PERSONAL","A",2125,8.9,0,0.05,"N",3
1993,22,17772,"RENT",0,"MEDICAL","A",2150,NA,0,0.12,"N",4
1996,21,30000,"MORTGAGE",5,"VENTURE","B",6400,NA,0,0.21,"N",3
1999,24,30000,"MORTGAGE",NA,"DEBTCONSOLIDATION","A",3075,NA,0,0.1,"N",4
2008,24,30000,"MORTGAGE",NA,"HOMEIMPROVEMENT","A",8000,6.17,0,0.27,"N",2
2015,22,40000,"RENT",6,"EDUCATION","B",14000,NA,1,0.35,"N",4
2025,22,41000,"RENT",5,"VENTURE","A",14000,NA,1,0.34,"N",3
2027,21,12000,"RENT",0,"DEBTCONSOLIDATION","C",2200,NA,1,0.18,"N",3
2028,21,15000,"RENT",4,"EDUCATION","D",2200,NA,0,0.15,"Y",4
2031,24,22000,"RENT",NA,"MEDICAL","A",2200,NA,0,0.1,"N",3
2055,22,30000,"OWN",NA,"VENTURE","C",7000,13.98,0,0.23,"Y",2
2064,26,14400,"RENT",NA,"MEDICAL","B",2350,9.91,1,0.16,"N",4
2072,25,15648,"RENT",NA,"EDUCATION","B",2400,11.71,0,0.15,"N",4
2080,21,18000,"RENT",NA,"VENTURE","C",2400,14.72,0,0.13,"N",2
2081,22,18000,"RENT",NA,"DEBTCONSOLIDATION","C",2400,13.61,0,0.13,"Y",3
2096,24,25000,"RENT",NA,"VENTURE","C",2400,13.8,0,0.1,"Y",4
2114,22,35000,"RENT",1,"EDUCATION","C",2400,NA,0,0.07,"Y",2
2129,25,30000,"MORTGAGE",9,"VENTURE","A",3000,NA,0,0.1,"N",4
2144,23,30000,"MORTGAGE",0,"MEDICAL","D",8000,NA,1,0.27,"Y",3
2162,26,70000,"RENT",0,"EDUCATION","C",2400,NA,0,0.03,"Y",3
2165,25,95000,"RENT",NA,"DEBTCONSOLIDATION","B",2400,9.25,0,0.03,"N",2
2166,26,95000,"RENT",0,"VENTURE","A",2400,NA,0,0.03,"N",3
2169,26,16000,"RENT",1,"VENTURE","D",2450,NA,1,0.15,"Y",2
2172,21,12000,"RENT",NA,"MEDICAL","B",2500,11.99,1,0.21,"N",4
2173,21,12540,"RENT",NA,"HOMEIMPROVEMENT","A",2500,7.88,1,0.2,"N",2
2202,24,35000,"RENT",8,"MEDICAL","B",13400,NA,1,0.38,"N",3
2212,22,33300,"RENT",0,"DEBTCONSOLIDATION","B",13250,NA,1,0.4,"N",4
2216,25,40000,"RENT",9,"PERSONAL","D",13250,NA,1,0.33,"N",3
2220,24,30996,"OWN",NA,"EDUCATION","A",8000,7.51,0,0.26,"N",3
2222,23,44248,"RENT",NA,"EDUCATION","A",13200,NA,0,0.3,"N",2
2228,22,62000,"RENT",5,"VENTURE","A",13200,NA,0,0.21,"N",4
2233,25,31000,"OWN",8,"PERSONAL","A",12000,NA,0,0.39,"N",3
2238,25,31000,"MORTGAGE",NA,"HOMEIMPROVEMENT","A",5200,5.42,0,0.17,"N",4
2240,24,135000,"RENT",8,"PERSONAL","A",13050,NA,0,0.1,"N",3
2262,23,31000,"MORTGAGE",6,"EDUCATION","B",18500,NA,0,0.6,"N",4
2265,23,38000,"RENT",4,"EDUCATION","D",13000,NA,1,0.34,"N",4
2281,24,39000,"RENT",NA,"EDUCATION","B",13000,10.75,1,0.33,"N",4
2285,24,46540,"RENT",5,"VENTURE","D",13000,NA,0,0.28,"Y",2
2288,22,31200,"MORTGAGE",NA,"MEDICAL","A",2000,7.29,0,0.06,"N",3
2305,25,31200,"MORTGAGE",0,"EDUCATION","E",4750,NA,1,0.15,"N",2
2315,22,31215,"OWN",NA,"EDUCATION","B",14000,9.91,0,0.45,"N",3
2316,26,31303,"MORTGAGE",7,"MEDICAL","A",12000,NA,0,0.38,"N",2
2317,22,31356,"MORTGAGE",6,"DEBTCONSOLIDATION","D",11225,NA,1,0.36,"Y",2
2318,25,26400,"RENT",NA,"EDUCATION","B",2500,10.62,0,0.09,"N",2
2322,25,31500,"MORTGAGE",NA,"EDUCATION","A",8250,7.51,0,0.26,"N",4
2325,22,31500,"OWN",NA,"VENTURE","A",8000,6.03,0,0.25,"N",2
2334,21,31544,"MORTGAGE",NA,"MEDICAL","A",2200,7.9,0,0.07,"N",2
2345,24,29000,"RENT",2,"MEDICAL","D",2500,NA,1,0.09,"N",4
2349,25,31920,"MORTGAGE",8,"MEDICAL","C",4500,NA,0,0.14,"Y",2
2351,26,37225,"RENT",4,"PERSONAL","C",2500,NA,0,0.07,"N",3
2352,26,31992,"OTHER",0,"VENTURE","A",6500,NA,0,0.2,"N",4
